Canonical Name,Aliases,Official Domains,Category,Scope,Classification,Active,Notes
Jollibee,Jollibee Foods;JFC,jollibee.com.ph,Restaurant,PH,KNOWN_FRANCHISE,true,National fast-food chain
McDonald's,McDonalds;McDo,mcdonalds.com.ph,Restaurant,GLOBAL,KNOWN_FRANCHISE,true,
KFC,Kentucky Fried Chicken,,Restaurant,GLOBAL,KNOWN_FRANCHISE,true,
Chowking,,chowking.com,Restaurant,PH,KNOWN_FRANCHISE,true,JFC brand
Greenwich,Greenwich Pizza,,Restaurant,PH,KNOWN_FRANCHISE,true,JFC brand
Mang Inasal,,manginasal.com,Restaurant,PH,KNOWN_FRANCHISE,true,JFC brand
Max's Restaurant,Maxs;Max's,,Restaurant,PH,KNOWN_FRANCHISE,true,
Shakey's,Shakeys;Shakey's Pizza,,Restaurant,PH,KNOWN_FRANCHISE,true,
Yellow Cab Pizza,Yellow Cab,,Restaurant,PH,KNOWN_FRANCHISE,true,
Pizza Hut,,,Restaurant,GLOBAL,KNOWN_FRANCHISE,true,
Burger King,,,Restaurant,GLOBAL,KNOWN_FRANCHISE,true,
Wendy's,Wendys,,Restaurant,GLOBAL,KNOWN_FRANCHISE,true,
Subway,,,Restaurant,GLOBAL,KNOWN_FRANCHISE,true,
Domino's Pizza,Dominos,,Restaurant,GLOBAL,KNOWN_FRANCHISE,true,
Popeyes,,,Restaurant,GLOBAL,KNOWN_FRANCHISE,true,
Army Navy,Army Navy Burger Burrito,,Restaurant,PH,KNOWN_FRANCHISE,true,
Starbucks,Starbucks Coffee,starbucks.ph,Cafe,GLOBAL,KNOWN_FRANCHISE,true,
The Coffee Bean & Tea Leaf,Coffee Bean;CBTL,,Cafe,GLOBAL,KNOWN_FRANCHISE,true,
Dunkin,Dunkin Donuts;Dunkin' Donuts,,Cafe,GLOBAL,KNOWN_FRANCHISE,true,
Krispy Kreme,,,Cafe,GLOBAL,KNOWN_FRANCHISE,true,
Tim Hortons,,,Cafe,GLOBAL,KNOWN_FRANCHISE,true,
Bo's Coffee,Bos Coffee,boscoffee.com,Cafe,PH,KNOWN_FRANCHISE,true,
Figaro Coffee,Figaro,,Cafe,PH,KNOWN_FRANCHISE,true,
Seattle's Best Coffee,Seattles Best,,Cafe,GLOBAL,KNOWN_FRANCHISE,true,
J.CO Donuts,JCO;J.CO,,Cafe,GLOBAL,KNOWN_FRANCHISE,true,
Goldilocks,,goldilocks.com.ph,Bakery,PH,KNOWN_FRANCHISE,true,
Red Ribbon,,,Bakery,PH,KNOWN_FRANCHISE,true,
7-Eleven,7 Eleven;Seven Eleven,7-eleven.com.ph,Convenience,GLOBAL,KNOWN_FRANCHISE,true,
Ministop,Mini Stop,,Convenience,PH,KNOWN_FRANCHISE,true,
Alfamart,,,Convenience,PH,KNOWN_FRANCHISE,true,
FamilyMart,Family Mart,,Convenience,GLOBAL,KNOWN_FRANCHISE,true,
Mercury Drug,,mercurydrug.com,Pharmacy,PH,KNOWN_FRANCHISE,true,
Watsons,,watsons.com.ph,Pharmacy,GLOBAL,KNOWN_FRANCHISE,true,
Generika Drugstore,Generika,,Pharmacy,PH,KNOWN_FRANCHISE,true,
The Generics Pharmacy,TGP,,Pharmacy,PH,KNOWN_FRANCHISE,true,
Southstar Drug,South Star Drug,,Pharmacy,PH,KNOWN_FRANCHISE,true,
David's Salon,Davids Salon,,Beauty,PH,KNOWN_FRANCHISE,true,
Lay Bare,Lay Bare Waxing,,Beauty,PH,KNOWN_FRANCHISE,true,
Bruno's Barbers,Brunos Barbers,,Beauty,PH,KNOWN_FRANCHISE,true,
Nail Spa,,,Beauty,PH,LARGE_CHAIN,true,Verify before excluding: name is generic
Anytime Fitness,,,Gym,GLOBAL,KNOWN_FRANCHISE,true,
Gold's Gym,Golds Gym,,Gym,GLOBAL,KNOWN_FRANCHISE,true,
Fitness First,,,Gym,GLOBAL,KNOWN_FRANCHISE,true,
National Book Store,NBS,,Retail,PH,KNOWN_FRANCHISE,true,
Bench,,bench.com.ph,Retail,PH,KNOWN_FRANCHISE,true,
Penshoppe,,,Retail,PH,KNOWN_FRANCHISE,true,
Ace Hardware,,,Retail,GLOBAL,KNOWN_FRANCHISE,true,
Puregold,,,Retail,PH,KNOWN_FRANCHISE,true,
